region,country,vegetable,dish,mix,dairy,sauce,herb,confectionery,spread,meat,bakery,cereal,alcohol,oil,additive,beverage,spice,condiment,fat,fruit,nut,legume,seasoning,vegetarian,seafood,vegan,tools,sweetener,seed,flavoring,fungi,flower
central-american,mexican,6997,607,138,5033,2874,2072,173,322,2823,291,1383,594,2245,257,2871,10934,937,128,1441,48,31,1516,231,258,59,108,1117,101,216,36,0
north-american,american,28272,3779,2093,32653,9269,11198,1312,2975,11993,4827,4869,4052,9693,6044,15115,50546,8028,796,5464,1007,84,7853,3653,2234,440,638,17341,1086,1735,447,27
north-american,canadian,3037,268,141,3206,736,1351,119,336,1113,513,403,488,923,794,1741,5085,716,66,613,111,14,759,469,219,26,39,2107,166,195,82,5
indian-subcontinent,indian,2601,53,14,1269,190,509,24,93,422,114,400,29,1467,116,1448,9377,608,225,411,107,165,276,143,83,205,15,600,115,239,15,1
european,german,949,71,60,1082,65,295,50,61,521,159,45,223,284,156,467,1444,300,47,154,39,2,201,196,9,4,12,678,89,54,17,1
european,italian,6481,307,124,7051,1391,5113,168,243,2324,842,796,1358,2942,294,1790,7019,1153,32,380,55,17,1995,638,347,45,73,1338,127,324,167,2
asian,indonesian,213,10,1,24,97,17,5,27,52,10,42,8,121,8,115,438,51,1,39,20,0,19,17,17,50,2,97,2,9,1,0
european,polish,321,29,12,279,25,73,5,17,159,25,29,36,51,16,126,338,58,5,35,5,1,64,60,4,0,1,122,22,15,6,0
asian,chinese,1697,90,24,139,1525,82,2,124,869,652,289,550,1800,77,804,2480,680,16,130,58,14,143,289,174,50,21,998,14,78,72,1
european,danish,95,3,9,247,8,45,6,13,66,36,17,29,24,62,92,250,28,6,23,12,0,28,33,15,0,1,154,9,17,1,0
european,swiss,176,14,6,489,17,73,29,15,109,82,26,92,60,30,121,376,42,2,63,5,1,41,39,5,0,0,147,10,17,5,1
european,swedish,147,11,16,395,37,83,9,19,141,33,22,37,49,66,121,487,42,7,32,12,0,45,77,13,2,1,216,11,25,2,0
european,french,1180,61,60,1936,94,1007,68,47,516,289,93,577,582,86,558,2047,272,11,154,17,10,425,158,76,5,31,607,36,94,65,9
african,american,28272,3779,2093,32653,9269,11198,1312,2975,11993,4827,4869,4052,9693,6044,15115,50546,8028,796,5464,1007,84,7853,3653,2234,440,638,17341,1086,1735,447,27
oceania,australian,1796,157,44,2100,490,940,116,140,643,262,202,452,929,220,1136,2177,452,4,654,127,5,464,286,147,41,71,1106,64,171,8,0
central-american,caribbean,1113,48,35,565,272,440,23,71,291,80,184,251,496,135,1055,2500,274,16,605,107,2,231,79,94,90,17,599,10,117,1,0
european,english,657,54,59,1177,114,375,62,99,317,159,71,202,282,196,369,1207,193,29,195,27,4,205,174,33,7,12,606,14,82,11,11
middle-eastern,lebanese,266,1,1,84,32,150,0,1,55,26,56,3,146,16,187,501,22,4,31,6,2,65,11,1,1,3,52,5,9,2,1
south-american,mexican,6997,607,138,5033,2874,2072,173,322,2823,291,1383,594,2245,257,2871,10934,937,128,1441,48,31,1516,231,258,59,108,1117,101,216,36,0
european,russian,329,18,12,356,29,128,8,19,115,30,33,42,74,40,168,371,89,3,38,3,0,60,44,5,2,5,160,21,10,20,0
asian,japanese,637,76,7,113,500,39,1,13,154,62,155,302,450,38,332,801,337,2,68,4,2,91,71,97,41,7,392,13,32,22,2
oceania,micro-melanesia,43,2,1,17,19,8,0,3,15,6,9,2,17,7,31,66,14,0,9,4,0,9,4,4,4,2,14,1,1,0,0
central-american,puerto-rican,61,6,6,32,31,36,2,5,39,4,23,26,54,7,67,136,25,3,22,7,1,12,2,6,6,4,24,0,5,0,0
european,spanish,1143,19,6,311,63,463,10,44,307,97,152,271,491,15,337,1146,157,3,167,12,4,259,73,112,2,6,180,17,52,16,2
european,irish,340,29,24,630,54,185,38,15,197,57,37,225,97,162,187,505,56,6,51,6,1,92,64,13,2,3,261,22,14,9,1
middle-eastern,middle-eastern,1246,17,19,507,187,610,8,61,269,120,227,52,643,81,810,2579,179,21,190,34,8,274,82,24,11,11,332,32,87,12,0
