country,n_recipes,veggi_n_recipes,vegan_n_recipes,average_calories
american,37533.0,5070.0,1530.0,488.83
mexican,6666.0,844.0,444.0,434.61
italian,6474.0,1165.0,277.0,504.17
canadian,3968.0,513.0,172.0,448.29
australian,2620.0,511.0,103.0,466.83
indian,2528.0,750.0,424.0,380.86
chinese,1731.0,129.0,107.0,434.79
french,1688.0,298.0,64.0,484.31
caribbean,1285.0,135.0,116.0,487.31
middle-eastern,1172.0,283.0,243.0,370.61
english,1151.0,286.0,47.0,516.95
german,1125.0,123.0,28.0,551.39
thai,1103.0,83.0,88.0,455.49
spanish,890.0,122.0,83.0,429.12
moroccan,827.0,134.0,109.0,417.97
japanese,766.0,87.0,108.0,389.29
new-zealand,644.0,153.0,36.0,528.57
irish,533.0,85.0,9.0,648.26
scottish,470.0,104.0,13.0,542.58
swiss,334.0,51.0,6.0,466.11
portuguese,329.0,20.0,18.0,537.72
vietnamese,329.0,18.0,28.0,395.31
swedish,328.0,41.0,8.0,446.34
russian,324.0,55.0,11.0,431.77
south-african,319.0,50.0,22.0,484.68
polish,294.0,32.0,13.0,498.69
hungarian,272.0,40.0,11.0,524.79
lebanese,254.0,52.0,55.0,347.96
turkish,251.0,51.0,40.0,374.19
scandinavian,247.0,38.0,3.0,425.22
korean,242.0,27.0,23.0,454.17
iranian-persian,240.0,52.0,24.0,444.47
brazilian,239.0,28.0,16.0,428.44
cuban,222.0,28.0,12.0,435.08
danish,210.0,63.0,12.0,640.01
egyptian,195.0,37.0,28.0,412.88
dutch,193.0,25.0,3.0,598.02
filipino,193.0,4.0,11.0,421.77
welsh,193.0,91.0,2.0,556.34
indonesian,193.0,31.0,20.0,440.09
norwegian,175.0,66.0,5.0,488.43
finnish,169.0,83.0,12.0,575.09
austrian,152.0,25.0,6.0,632.48
belgian,147.0,23.0,2.0,524.1
pakistani,136.0,19.0,10.0,430.23
czech,128.0,31.0,1.0,608.17
argentine,119.0,14.0,3.0,530.64
peruvian,116.0,16.0,11.0,460.73
malaysian,107.0,8.0,9.0,412.09
puerto-rican,99.0,3.0,8.0,434.73
iraqi,98.0,16.0,9.0,404.23
ethiopian,86.0,16.0,20.0,592.66
chilean,75.0,9.0,12.0,376.34
micro-melanesia,49.0,1.0,5.0,496.49
nepalese,47.0,6.0,10.0,789.74
icelandic,44.0,10.0,2.0,331.74
costa-rican,39.0,6.0,3.0,341.61
ecuadorean,37.0,5.0,2.0,418.74
nigerian,35.0,6.0,3.0,732.24
guatemalan,32.0,3.0,6.0,404.15
libyan,24.0,6.0,3.0,389.42
laotian,16.0,1.0,4.0,297.04
honduran,14.0,1.0,1.0,575.46
mongolian,12.0,1.0,1.0,476.28
sudanese,12.0,4.0,1.0,287.81
angolan,10.0,3.0,1.0,372.12
congolese,10.0,2.0,2.0,432.26
somalian,9.0,,1.0,187.87
namibian,6.0,,1.0,558.92
