,country,minutes,n_steps,n_ingredients,rating,region,count
0,american,67.16077491,9.887751253,9.205394191,4.336513175,north-american,31179
1,angolan,43.3,7.9,7,4.041666667,african,13
2,argentine,61.93220339,10.78813559,10.27118644,4.252292815,south-american,124
3,australian,46.33589251,8.541650672,8.456429942,4.492387055,oceania,2845
4,austrian,66.18666667,12.77333333,9.386666667,4.207826211,european,170
5,belgian,62.45205479,12.47945205,9.246575342,4.465815893,european,165
6,brazilian,69.92405063,9.4092827,8.666666667,4.165130626,south-american,247
7,canadian,65.7581716,9.704800817,9.027068437,4.336439351,north-american,4572
8,caribbean,62.39920949,9.264822134,10.0798419,4.365927376,central-american,1709
9,chilean,62.82666667,10.90666667,9.986666667,4.383625546,south-american,76
10,chinese,53.53236152,11.65714286,11.00524781,4.270309124,asian,2008
11,congolese,52.4,9.1,9.6,4.25,african,11
12,costa-rican,48.78947368,8.421052632,8.605263158,4.146787044,central-american,48
13,cuban,84.89814815,10.40277778,10.49537037,4.238472886,central-american,255
14,czech,92.328,12.536,8.792,3.927901491,european,136
15,danish,65.62135922,9.990291262,8.529126214,4.34987712,european,230
16,dutch,64.47089947,9.772486772,8.634920635,4.35080516,european,224
17,ecuadorean,51.43243243,10.18918919,10.10810811,4.147490347,south-american,37
18,egyptian,66.56842105,10.82631579,9.331578947,4.382537098,middle-eastern,200
19,english,60.72438163,10.44081272,8.664310954,4.314068955,european,1744
20,ethiopian,58.58139535,9.651162791,10.86046512,4.1719575,african,88
21,filipino,67.96296296,10.63492063,9.661375661,3.770577676,asian,206
22,finnish,79.46385542,10.48795181,8.415662651,4.329197684,european,171
23,french,72.1640625,12.52163462,9.292668269,4.431520448,european,2268
24,german,74.46709324,11.55484461,9.398537477,4.294144886,european,1377
25,guatemalan,72.6875,8.46875,8.6875,4.176587302,central-american,34
26,honduran,51.35714286,11,11.64285714,3.626190476,central-american,21
27,hungarian,85.42366412,12.51526718,10.09160305,3.994008022,european,317
28,icelandic,37.42857143,8.333333333,8.023809524,4.320634921,european,44
29,indian,61.16044926,10.86602487,11.57240273,4.236922847,indian-subcontinent,2708
30,indonesian,58.09947644,9.633507853,11.21465969,4.270818695,asian,218
31,iranian-persian,74.56540084,11.46413502,9.388185654,4.214148206,middle-eastern,252
32,iraqi,58.41666667,10.9375,9.583333333,4.383171169,middle-eastern,98
33,irish,80.73142857,10.72952381,8.92,4.33019852,european,658
34,italian,64.12383032,11.71116656,10.17420462,4.384138972,european,7410
35,japanese,44.60606061,9.541501976,8.612648221,4.239266861,asian,851
36,korean,54.58369099,9.635193133,10.00429185,4.424280705,asian,253
37,laotian,30.625,9.6875,10,4.536458333,asian,16
38,lebanese,63.58467742,10.49596774,9.350806452,4.09334846,middle-eastern,308
39,libyan,46,8.333333333,8.75,4.27797619,middle-eastern,40
40,malaysian,50.72641509,10.02830189,11.26415094,4.109095407,asian,119
41,mexican,68.43953383,10.13606781,10.05751476,4.394500378,north-american,6694
42,micro-melanesia,53.12765957,9.893617021,8.765957447,4.316134752,oceania,49
43,middle-eastern,55.62726488,9.909404659,10.14150129,4.350951432,middle-eastern,2067
44,mongolian,41.66666667,13.83333333,14.25,4.003065134,asian,13
45,moroccan,68.74785802,10.74541004,12.11015912,4.500447954,african,897
46,namibian,61.83333333,9,8.833333333,4.75,african,6
47,nepalese,54.44680851,12.55319149,13.04255319,4.206737589,indian-subcontinent,53
48,new-zealand,43.16144201,8.385579937,7.938871473,4.4057029,oceania,645
49,nigerian,60.48571429,11.51428571,9,4.039206349,african,38
50,norwegian,52.08982036,9.736526946,7.94011976,4.313531637,european,199
51,pakistani,63.11029412,10.83088235,12.27205882,4.308272059,indian-subcontinent,141
52,peruvian,73.21238938,11.80530973,11.23893805,4.12090136,south-american,121
53,polish,90.09965636,11.54639175,9.326460481,3.964458624,european,407
54,portuguese,81.43987342,10.36708861,9.575949367,4.235799163,european,358
55,puerto-rican,78.57575758,9.131313131,9.01010101,4.152204524,central-american,106
56,russian,75.68847352,12.14330218,9.68847352,4.129930495,european,381
57,scandinavian,49.67901235,10.56378601,8.975308642,4.581473986,european,1294
58,scottish,58.36225597,10.0021692,7.711496746,4.253235106,european,715
59,somalian,27.44444444,8.777777778,7.111111111,4.575396825,african,9
60,south-african,56.94637224,10.78864353,10.32492114,4.306230453,african,324
61,spanish,55.03885714,10.33485714,9.746285714,4.480505302,european,1072
62,sudanese,24.58333333,6.333333333,7.666666667,4.236111111,african,15
63,swedish,68.57716049,10.4382716,8.895061728,4.38919637,european,373
64,swiss,56.77878788,11.02121212,8.475757576,4.435595611,european,375
65,thai,46.99634703,10.08127854,11.7543379,4.297269026,asian,1208
66,turkish,54.75100402,9.891566265,9.465863454,4.308750886,middle-eastern,286
67,vietnamese,54.99068323,11.10559006,11.90993789,4.352741354,asian,351
68,welsh,67.14835165,12.01098901,8.912087912,4.382823046,asian,203
